id;account_id;cust_id;reln_id;reln_type;oper_inst;is_acct_nbr;bnd_acct_nbr;closing_id;sub_segment;branch_code;acct_status;ctry_code;acct_owners;remarks;created_by;created_ts;updated_by;updated_ts;record_status
1;who warn if;anti calculus;malice sing slum;pish ;tell;outside practice;times impolite per;gah coaxin;daintily;week frill;rayon;pss;silently unruly;duh sadly;without ;2024-07-21T19:42:09;blah not;2024-07-22T10:05:17;blah unify
2;homestead yawningly;flit down throughout;ray;yahoo;meanwhile ;kosher shoehorn secularize;er;against ha;alongside;cartload u;ugh after;up;whoever helplessly reorganise;lease by;ah;2024-07-21T20:45:43;unimpres;2024-07-22T17:04:33;enthusiast
3;producer;bah;fooey repeatedly;oof r;lollipop c;anonymize broil yowza;banner yippee wild;hmph caric;miserly pa;brown;phew;oof;exemplify;snake;coolly a;2024-07-22T10:49:32;fortify ;2024-07-22T16:59:07;finally in
4;now;alligator sore meh;lionise stumble;aw ol;inoculate;yowza;impediment why anenst;yet far;campanile ;mechanical;phew;mid;suddenly corny vice;mmm stopper;conventi;2024-07-21T20:35:12;homonym ;2024-07-22T06:58:15;of defolia
5;eek valiantly;label ah;hmph;ew or;atop awkwa;apud;ha surprisingly although;lest tambo;yieldingly;smoke rega;solidly;que;love;ouch;superfic;2024-07-22T07:41:57;because ;2024-07-22T10:29:54;counsellin
6;music uniform wield;parallel only;aha provided geez;untri;abaft equa;healthily supposing;furthermore vandalize ick;versus;phew silky;seemingly ;regularise;yip;huzzah litigate psst;oh dishonest;watchmak;2024-07-21T23:47:48;vapid sk;2024-07-22T15:54:42;aha
7;embitter centimeter obsidian;proscribe hanger;therapist sandy and;yippe;fix;noisily mid;active absolute;worriedly ;what;thwack;consequent;by ;who against where;ew;rinse sa;2024-07-21T19:16:21;jaggedly;2024-07-22T16:11:19;notwithsta
8;aw;however;imitate weary;chipm;eek highli;reformat but readmit;whose peal;scarce whe;fooey;inasmuch;porthole w;spi;unselfish;save gosh;although;2024-07-21T23:13:26;guzzle o;2024-07-22T11:28:36;nor
9;or;more;likewise um;stand;unethicall;these ultimately;around;valiantly ;deep;vapid;carom gran;bai;eek magnificent aboard;nosh bah as;ferociou;2024-07-22T07:14:24;never;2024-07-22T12:50:40;bedroom cr
10;this what um;blank;extemporise;posit;disembowel;outvote;mortally yippee;amazon;blah doubl;than wrong;purple or ;abs;barring likewise interesting;implode furthermore;if shore;2024-07-22T16:16:57;calendar;2024-07-22T10:49:06;although f
