id;account_id;history_ts;cust_id;reln_id;reln_type;oper_inst;is_acct_nbr;bnd_acct_nbr;closing_id;sub_segment;branch_code;acct_status;ctry_code;acct_owners;remarks;created_by;created_ts;updated_by;updated_ts;record_status
1;ew beside;2024-07-22T03:44:36;aboard;sans if majestic;kindh;minus zeal;only ugh;pattypan;yahoo e-re;placode;yahoo comp;tempt;yuc;bumpy slam;klap yuck lonely;sailor;2024-07-22T09:22:00;fumbling;2024-07-21T21:39:06;political 
2;innocently yippee wine;2024-07-22T09:51:20;estimate automate hide;appertain except victoriously;inasm;atop;pipe physical;turbocharge oh apprehend;more;shovel;straighten;indeed pug;cle;psst given euphoric;very;hmph;2024-07-22T06:49:42;question;2024-07-22T06:45:48;whereas in
3;nerve uh-huh ick;2024-07-22T11:11:07;numb;colorfully violently commercia;yippe;bah;meh schmooze closely;amid soulful placate;forget duh;whoa;drag mocki;hurt bare;so ;atop pish ouch;bewitched;on after;2024-07-22T08:14:13;often ho;2024-07-21T19:07:10;sub undern
4;coffee functional observation;2024-07-22T08:16:25;shyly after acclaimed;whoever divulge as;fierc;wall aboar;bidder corrupt;happily;liquidize ;pate raili;slapstick;glider;unr;ouch;like;aboard;2024-07-22T05:46:58;despite;2024-07-21T20:51:58;dock ew up
5;more aha;2024-07-21T18:21:34;hybridise;husband pointed;trous;duck calci;what since;yuck;spouse nor;inquisitiv;zowie idle;lovable ab;til;intensely hew er;knavishly along;obtain p;2024-07-21T23:26:08;justly;2024-07-22T08:25:15;gee loafer
6;abaft concerning gosh;2024-07-22T16:26:30;gleefully oh;why wherever mmm;whene;concerning;whoever;lipoprotein miserable;double loo;promise mi;plow mante;likewise;ove;ew oleo gosh;across waist autowind;unbearab;2024-07-22T02:55:52;whoa whe;2024-07-22T03:59:32;overvalue 
7;milky pro;2024-07-22T05:56:27;lean upright instead;greatly cautious though;noise;lest;although;comfort onto;oof;judo;tomorrow s;trusty ova;cir;disloyal;sprag employment;um um th;2024-07-21T21:45:46;pro;2024-07-22T15:38:33;wee
8;modulo thrift;2024-07-22T06:51:23;nag advancement perfumed;euthanise but blah;speed;um oppress;morsel phooey;hopelessly scow for;weighty la;span;certificat;regularly ;sau;pfft contraindicate lest;into ew;nor reas;2024-07-22T15:52:39;glut;2024-07-22T03:11:44;joshingly 
9;shipper duh detour;2024-07-21T22:55:37;uproot beneath echidna;worth;rough;piety pois;plus;gosh flume;veterinari;wicked now;hug blissf;voluntaril;sli;jabber;drat infatuated;replicat;2024-07-21T18:45:27;tremendo;2024-07-21T18:13:24;beneath di
10;snowplow;2024-07-21T23:38:46;jibe when;screw;uh-hu;forenenst ;however submissive ugh;millstone thoughtfully watchfu;when booho;which opti;fashion bu;aha;inc;though oddly;toward;than tir;2024-07-22T16:10:34;licence;2024-07-22T16:53:42;per aw
