id;settacc_id;history_ts;account_id;sett_acct_nbr;sett_ccy;sett_acct_status;created_by;created_ts;updated_by;updated_ts;record_status
1;tumble;2024-07-21T18:38:12;notwithstanding;pleat when blah;hea;sans ick h;divalent;2024-07-22T14:42:31;outside;2024-07-22T07:27:07;whenever
2;prize aircraft;2024-07-22T06:38:25;boiling;even yowza;bes;pace so ou;vacantly;2024-07-22T03:26:11;march;2024-07-22T15:58:17;integral a
3;whether pink;2024-07-22T16:20:25;er;though void;art;sympatheti;straw gi;2024-07-21T21:35:35;saunter ;2024-07-21T21:08:39;except phe
4;salty top-hat;2024-07-21T21:01:15;gladly;bottom closely finally;pro;yowza spec;furiousl;2024-07-22T13:46:54;frightfu;2024-07-22T07:44:01;lest
5;by;2024-07-22T07:27:33;half-sister;geez;aha;up adminis;troubled;2024-07-22T11:32:19;procure ;2024-07-21T21:21:17;blah
6;eat altruistic;2024-07-22T16:57:57;sure-footed ent;impartial;wel;geez hones;plough p;2024-07-22T15:49:09;virtual ;2024-07-22T14:00:05;likewise
7;merge dreamily;2024-07-22T04:43:37;per able;ugh;foo;seriously ;usefully;2024-07-22T09:34:51;regardin;2024-07-22T02:31:05;recap happ
8;tussle;2024-07-22T01:15:46;and abaft frivo;huzzah afore;bos;anxiously ;rudely p;2024-07-21T22:59:53;rise str;2024-07-22T10:05:30;appear
9;thankfully;2024-07-22T09:16:48;ew;um after;ast;excepting ;greedy w;2024-07-21T18:52:20;dad duti;2024-07-21T19:54:08;apropos pr
10;discrete;2024-07-22T17:28:06;exactly genuine;eek whoever;hew;nearly ind;suddenly;2024-07-22T00:18:32;except s;2024-07-22T11:19:17;beloved tr
