id;settacc_id;account_id;sett_acct_nbr;sett_ccy;sett_acct_status;created_by;created_ts;updated_by;updated_ts;record_status;upload_remark
1;male hungrily vivaciously;supposing;so;thr;ugh;insidiou;2024-07-22T06:50:48;unless;2024-07-22T13:39:48;till lazil;where
2;wrap astride;gadzooks optimi;veneer leverage aw;sou;er ha fren;aim blar;2024-07-21T18:30:59;selfishl;2024-07-22T07:07:46;concerning;judgementally
3;bow divan dimly;rib;plus;oh ;intrude;quinoa o;2024-07-22T03:03:35;weight m;2024-07-22T04:56:25;gosh;pronounce forked zone
4;per quicker and;release around ;after moan bravely;vic;ew meanwhi;content ;2024-07-22T13:37:32;hence;2024-07-22T00:56:36;drool;temporary convene
5;geez;or supposing du;to perfume;ont;sick on;enormous;2024-07-22T08:58:19;supposin;2024-07-21T22:38:58;off unequa;goose
6;suspect swan;withdraw safely;gadzooks studious;col;how zowie ;saunter;2024-07-22T11:22:24;when pac;2024-07-21T21:03:26;strategy s;how
7;yum next;advanced;eek beside meh;tha;now fooey ;brainsto;2024-07-22T13:19:05;cultivat;2024-07-21T23:23:10;suburban t;alienated
8;what than;harry blah full;cannibalize;aqu;closed pro;knowingl;2024-07-22T14:00:29;limp;2024-07-22T17:04:16;satirise d;eventually billow
9;heavy;digitize;evaporate whoa while;inh;gah since;loftily ;2024-07-22T09:11:58;although;2024-07-22T00:54:38;divorce;till
10;ingratiate than till;bunch;ringed blah;ick;bulky salt;second-h;2024-07-22T10:45:30;decant p;2024-07-22T14:24:57;roll;vest separately indeed
